Time,TargetSpeed,SpeedL,SpeedR,TheoYawRate,ActualYawRate,SlipFlag
00:00:00,-391.97,-1752.28,-1658.50,0.5359,0.4943,0
00:00:00,-407.40,-1791.77,-1648.62,0.8180,0.4778,0
00:00:00,-414.90,-1821.38,-1722.66,0.5641,0.4126,0
00:00:00,-429.51,-1865.81,-1772.02,0.5359,0.5415,0
00:00:00,-443.64,-1880.62,-1811.51,0.3949,0.3070,0
00:00:00,-457.33,-1929.98,-1865.81,0.3667,0.2945,0
00:00:00,-470.62,-1959.59,-1929.98,0.1692,0.3564,0
00:00:00,-483.55,-2004.02,-1959.59,0.2539,0.1671,0
00:00:00,-496.14,-2053.38,-1979.34,0.4231,0.1703,0
00:00:00,-508.42,-2127.42,-2038.57,0.5077,0.2515,0
00:00:00,-520.41,-2152.10,-2082.99,0.3949,0.2477,0
00:00:00,-532.12,-2221.20,-2142.22,0.4513,0.1447,0
00:00:00,-543.59,-2236.01,-2161.97,0.4231,0.3020,0
00:00:00,-560.35,-2285.37,-2231.07,0.3103,0.2241,0
00:00:00,-571.25,-2334.73,-2324.86,0.0564,0.2188,0
00:00:00,-581.95,-2423.58,-2369.28,0.3103,0.2642,0
00:00:00,-597.63,-2468.00,-2408.77,0.3385,0.2369,0
00:00:00,-607.78,-2522.30,-2472.94,0.2821,0.1825,0
00:00:00,-607.78,-2616.08,-2522.30,0.5359,0.1753,0
00:00:00,-607.78,-2665.44,-2635.82,0.1692,0.2062,0
00:00:00,-607.78,-2724.67,-2699.99,0.1410,0.1249,0
00:00:00,-606.22,-2754.29,-2709.86,0.2539,0.3142,0
00:00:00,-590.76,-2892.50,-2783.90,0.6205,0.3748,0
00:00:00,-574.89,-2877.69,-2838.20,0.2256,0.2613,0
00:00:00,-564.06,-2882.62,-2818.46,0.3667,0.2320,0
00:00:00,-547.41,-2922.11,-2912.24,0.0564,0.3021,0
00:00:00,-530.24,-2956.66,-2902.37,0.3103,0.1405,0
00:00:00,-512.50,-3001.09,-2936.92,0.3667,-0.0239,0
00:00:00,-494.12,-2996.15,-2966.54,0.1692,0.1289,0
00:00:00,-475.02,-2991.22,-2917.18,0.4231,-0.0789,0
00:00:00,-455.13,-3001.09,-2951.73,0.2821,0.1000,0
00:00:00,-434.33,-3045.51,-2976.41,0.3949,-0.0060,0
00:00:00,-412.48,-3015.90,-3020.83,-0.0282,0.2322,0
00:00:00,-389.41,-3006.02,-2917.18,0.5077,0.2016,0
00:00:00,-364.88,-3010.96,-2931.98,0.4513,0.5151,0
00:00:00,-338.58,-2996.15,-2907.30,0.5077,0.4715,0
00:00:00,-310.05,-2991.22,-2892.50,0.5641,0.8517,0
00:00:00,-278.62,-3001.09,-2749.35,1.4385,1.0428,0
00:00:00,-243.17,-3257.76,-2769.10,2.7924,1.8282,0
00:00:00,-224.05,-3435.46,-2872.75,3.2155,2.4351,0
00:00:00,-218.24,-3159.04,-2389.02,4.4001,3.1471,0
00:00:00,-223.81,-2813.52,-1905.30,5.1899,3.6040,0
00:00:00,-236.69,-2092.86,-1243.87,4.8514,3.5137,0
00:00:00,-253.64,-1811.51,-1416.63,2.2565,2.6222,0
00:00:00,-264.73,-2058.31,-1688.11,2.1154,1.7589,0
00:00:00,-287.08,-2122.48,-1747.34,2.1436,1.5339,0
00:00:00,-307.81,-2082.99,-1712.79,2.1154,1.3496,0
00:00:00,-327.24,-2043.50,-1707.86,1.9180,1.5229,0
00:00:00,-345.57,-2018.82,-1781.90,1.3539,1.2337,0
00:00:00,-362.98,-2048.44,-1831.26,1.2411,0.7898,0
00:00:00,-371.38,-2053.38,-1895.42,0.9026,0.9288,0
00:00:00,-387.63,-2063.25,-1910.23,0.8744,0.6809,0
00:00:00,-403.22,-2058.31,-1949.72,0.6205,0.4612,0
00:00:00,-418.24,-2087.93,-2004.02,0.4795,0.3851,0
00:00:00,-432.73,-2122.48,-2073.12,0.2821,0.3670,0
00:00:00,-446.76,-2087.93,-2092.86,-0.0282,0.0434,0
00:00:00,-460.79,-2137.29,-2127.42,0.0564,0.0746,0
00:00:00,-447.21,-2211.33,-2260.69,-0.2821,-0.1360,0
00:00:00,-433.20,-2275.50,-2324.86,-0.2821,-0.3826,0
00:00:00,-418.72,-2285.37,-2393.96,-0.6205,-0.3280,0
00:00:00,-396.01,-2300.18,-2379.15,-0.4513,-0.6768,0
00:00:00,-380.12,-2290.30,-2418.64,-0.7333,-0.5676,0
00:00:00,-363.53,-2275.50,-2453.19,-1.0154,-0.7556,0
00:00:00,-337.12,-2285.37,-2497.62,-1.2128,-0.9401,0
00:00:00,-318.31,-2236.01,-2532.17,-1.6923,-0.9497,0
00:00:00,-298.30,-2206.39,-2517.36,-1.7770,-1.3888,0
00:00:00,-265.49,-2147.16,-2532.17,-2.2000,-1.6763,0
00:00:00,-242.19,-2078.06,-2527.23,-2.5667,-2.1366,0
00:00:00,-222.94,-2008.95,-2497.62,-2.7924,-1.9050,0
00:00:00,-209.46,-1974.40,-2423.58,-2.5667,-2.0796,0
00:00:00,-224.00,-1836.19,-2374.22,-3.0744,-2.0895,0
00:00:00,-239.15,-1752.28,-2260.69,-2.9052,-2.5803,0
00:00:00,-245.45,-1772.02,-2191.58,-2.3975,-2.4383,0
00:00:00,-257.97,-1702.92,-2196.52,-2.8206,-2.0683,0
00:00:00,-274.52,-1707.86,-2166.90,-2.6231,-1.9435,0
00:00:00,-295.12,-1673.30,-2033.63,-2.0590,-1.8916,0
00:00:00,-305.39,-1683.18,-2023.76,-1.9462,-1.5158,0
00:00:00,-324.96,-1693.05,-2018.82,-1.8616,-1.3011,0
00:00:00,-343.42,-1683.18,-1939.85,-1.4667,-0.9765,0
00:00:00,-360.93,-1717.73,-1934.91,-1.2411,-0.6059,0
00:00:00,-369.37,-1767.09,-1949.72,-1.0436,-0.8258,0
00:00:00,-385.71,-1801.64,-1929.98,-0.7333,-0.5998,0
00:00:00,-401.38,-1831.26,-1984.27,-0.8744,-0.2301,0
00:00:00,-416.46,-1831.26,-1939.85,-0.6205,-0.4772,0
00:00:00,-431.02,-1890.49,-1895.42,-0.0282,-0.3364,0
00:00:00,-445.10,-1910.23,-1944.78,-0.1974,-0.0473,0
00:00:00,-451.97,-1939.85,-1920.10,0.1128,-0.0243,0
00:00:00,-441.14,-2053.38,-1989.21,0.3667,0.2395,0
00:00:00,-426.94,-2137.29,-2078.06,0.3385,0.2961,0
00:00:00,-404.69,-2112.61,-2013.89,0.5641,0.3725,0
00:00:00,-389.15,-2137.29,-2013.89,0.7051,0.4287,0
00:00:00,-372.96,-2152.10,-1994.14,0.9026,0.6157,0
00:00:00,-356.05,-2147.16,-1979.34,0.9590,0.6330,0
00:00:00,-338.28,-2181.71,-1954.66,1.2975,0.9962,0
00:00:00,-319.53,-2196.52,-1939.85,1.4667,1.1664,0
00:00:00,-299.61,-2201.46,-1934.91,1.5231,1.2632,0
00:00:00,-278.26,-2206.39,-1846.06,2.0590,1.5505,0
00:00:00,-256.34,-2211.33,-1801.64,2.3411,1.8881,0
00:00:00,-238.76,-2176.78,-1767.09,2.3411,1.9285,0
00:00:00,-227.84,-2157.03,-1712.79,2.5385,1.9635,0
00:00:00,-223.23,-2082.99,-1643.69,2.5103,2.0759,0
00:00:00,-224.10,-2038.57,-1540.03,2.8488,1.9659,0
00:00:00,-233.98,-1969.46,-1540.03,2.4539,1.8595,0
00:00:00,-249.19,-1929.98,-1470.93,2.6231,1.8357,0
00:00:00,-257.64,-1865.81,-1461.06,2.3129,1.8011,0
00:00:00,-279.55,-1865.81,-1446.25,2.3975,1.7416,0
00:00:00,-300.80,-1791.77,-1495.61,1.6923,1.5775,0
00:00:00,-310.89,-1831.26,-1505.48,1.8616,1.1547,0
00:00:00,-330.13,-1772.02,-1559.78,1.2128,1.1905,0
00:00:00,-339.34,-1791.77,-1574.58,1.2411,0.9924,0
00:00:00,-357.05,-1806.58,-1619.01,1.0718,0.8572,0
00:00:00,-373.93,-1737.47,-1584.46,0.8744,0.6774,0
00:00:00,-382.08,-1772.02,-1658.50,0.6487,0.5842,0
00:00:00,-397.90,-1757.22,-1702.92,0.3103,0.5491,0
00:00:00,-413.11,-1742.41,-1702.92,0.2256,0.3618,0
00:00:00,-427.78,-1781.90,-1747.34,0.1974,0.1781,0
00:00:00,-434.92,-1841.13,-1855.94,-0.0846,0.0546,0
00:00:00,-448.88,-1880.62,-1870.74,0.0564,0.1257,0
00:00:00,-462.42,-1870.74,-1846.06,0.1410,0.0060,0
00:00:00,-465.76,-1900.36,-1925.04,-0.1410,0.0786,0
00:00:00,-452.33,-2008.95,-2102.74,-0.5359,0.0467,0
00:00:00,-438.48,-2102.74,-2142.22,-0.2256,-0.1729,0
00:00:00,-424.18,-2013.89,-2092.86,-0.4513,-0.3326,0
00:00:00,-409.38,-2013.89,-2087.93,-0.4231,-0.5186,0
00:00:00,-394.03,-2023.76,-2112.61,-0.5077,-0.4305,0
00:00:00,-378.05,-2092.86,-2206.39,-0.6487,-0.5961,0
00:00:00,-361.37,-2058.31,-2196.52,-0.7898,-0.7740,0
00:00:00,-334.80,-2028.70,-2206.39,-1.0154,-0.8437,0
00:00:00,-315.84,-1994.14,-2226.14,-1.3257,-0.9081,0
00:00:00,-295.67,-1954.66,-2226.14,-1.5513,-1.3531,0
00:00:00,-274.02,-1925.04,-2240.94,-1.8052,-1.2844,0
00:00:00,-250.50,-1910.23,-2295.24,-2.2000,-1.8476,0
00:00:00,-229.04,-1796.70,-2280.43,-2.7642,-1.7029,0
00:00:00,-213.15,-1747.34,-2211.33,-2.6513,-1.8247,0
00:00:00,-208.79,-1633.82,-2137.29,-2.8770,-1.7080,0
00:00:00,-214.57,-1584.46,-2073.12,-2.7924,-1.7830,0
00:00:00,-220.30,-1564.71,-2033.63,-2.6795,-1.8672,0
00:00:00,-224.65,-1515.35,-1954.66,-2.5103,-1.6595,0
00:00:00,-240.55,-1470.93,-1929.98,-2.6231,-1.7544,0
00:00:00,-260.63,-1490.67,-1885.55,-2.2565,-1.8029,0
00:00:00,-272.21,-1416.63,-1806.58,-2.2283,-1.6760,0
00:00:00,-293.99,-1446.25,-1762.15,-1.8052,-1.4109,0
00:00:00,-304.30,-1475.86,-1752.28,-1.5795,-1.2029,0
00:00:00,-323.93,-1510.42,-1767.09,-1.4667,-1.0494,0
00:00:00,-333.32,-1535.10,-1747.34,-1.2128,-0.8013,0
00:00:00,-351.33,-1574.58,-1722.66,-0.8462,-0.6756,0
